站名,平均氣溫,絕對最高氣溫,絕對最高氣溫日期,絕對最低氣溫,絕對最低氣溫日期,平均相對濕度 %,總降雨量mm,平均風速m/s,最多風向,總日照時數h,總日射量MJ/ m2,平均地溫(0cm),平均地溫(5cm),平均地溫(10 cm),平均地溫(20 cm),平均地溫(50 cm),平均地溫(100 cm),Year,Month
桃園農改,14.1,23.2,1/18,6.6,1/14,77.0,17.0,XXX,XXX,115.4,252.94,15.3,15.6,16.0,16.8,17.5,18.7,2009,1
茶改場,13.2,23.1,1/18,4.9,1/10,81.2,32.5,3.2,67.5,109.7,256.82,15.1,15.1,15.5,16.0,16.8,18.9,2009,1
五峰站,8.9,20.5,1/29,-0.7,1/10,83.2,18.0,0.4,135.0,107.0,249.83,12.6,12.6,13.0,13.6,14.3,16.0,2009,1
苗栗農改,13.5,25.5,1/18,1.4,1/14,77.4,2.5,3.4,360.0,153.1,295.55,14.5,15.5,15.7,16.0,16.8,18.2,2009,1
農業試驗所,15.0,26.7,1/21,3.7,1/14,78.3,0.0,2.5,360.0,242.9,311.52,17.2,17.4,17.6,17.9,18.5,19.6,2009,1
臺中農改,15.6,29.1,1/21,4.7,1/11,73.1,0.0,3.0,360.0,214.3,261.77,18.5,18.6,18.9,19.3,19.8,20.7,2009,1
臺大溪頭,10.1,20.2,1/19,1.7,1/11,81.2,0.0,1.2,180.0,-,303.81,15.0,15.8,15.2,15.5,16.3,16.7,2009,1
雲林分場,14.9,26.5,1/21,3.3,1/11,87.6,0.0,2.4,360.0,224.2,326.65,19.4,18.7,19.2,19.6,19.4,19.7,2009,1
義竹分場,15.7,27.9,1/21,4.0,1/11,60.4,0.0,4.1,22.5,-,410.34,19.2,19.4,19.7,19.9,20.6,21.2,2009,1
畜試所,15.7,26.9,1/19,4.4,1/11,76.2,0.0,2.5,360.0,209.5,302.6,18.0,18.3,18.6,19.0,19.4,20.8,2009,1
恆春畜試,20.2,29.2,1/21,14.2,1/11,70.6,26.0,4.9,22.5,254.1,262.86,21.0,21.3,21.3,21.5,22.4,23.4,2009,1
高雄農改,18.1,29.9,1/19,7.8,1/14,63.1,0.1,1.2,360.0,172.2,293.73,20.1,20.2,20.6,20.9,21.4,23.1,2009,1
蘭陽分場,15.2,25.7,1/29,6.9,1/14,76.9,128.0,2.2,270.0,73.0,209.53,16.9,17.1,17.3,17.4,17.9,18.7,2009,1
花蓮農改,16.5,24.4,1/21,7.8,1/11,75.4,33.5,1.0,22.5,94.2,260.03,17.8,18.2,18.8,19.1,19.4,20.3,2009,1
