站名,平均氣溫,絕對最高氣溫,絕對最高氣溫日期,絕對最低氣溫,絕對最低氣溫日期,平均相對濕度 %,總降雨量mm,平均風速m/s,最多風向,總日照時數h,總日射量MJ/ m2,平均地溫(0cm),平均地溫(5cm),平均地溫(10 cm),平均地溫(20 cm),平均地溫(50 cm),平均地溫(100 cm),Year,Month
桃改樹林分場,16.1,29.5,01/13,5.3,01/31,76.7,17.0,3.1,ENE,187.2,293.9,16.2,16.3,16.5,17.1,17.9,19.1,2023,1
茶改北部分場,13.8,27.9,01/13,4.1,01/25,87.7,110.0,1.4,S,134.9,221.2,14.9,15.2,15.4,15.6,16.5,17.5,2023,1
桃園農改,15.6,26.4,01/13,5.6,01/31,80.2,14.5,4.7,NE,188.2,293.3,17.0,16.6,17.3,17.0,18.7,19.3,2023,1
茶改場,14.9,27.1,01/13,6.0,01/25,83.5,32.0,1.9,ENE,177.3,296.7,15.3,15.7,16.1,16.6,17.8,19.4,2023,1
農工中心,15.3,27.5,01/14,6.5,01/25,77.3,19.0,1.3,E,167.8,266.5,16.3,15.8,16.4,16.6,17.8,19.9,2023,1
桃改五峰分場,11.8,23.2,01/14,0.0,01/24,87.4,23.0,0.5,ESE,178.9,306.1,12.7,13.4,13.1,13.4,15.3,16.6,2023,1
桃改新埔分場,15.6,28.2,01/13,5.0,01/31,79.4,5.0,2.8,W,211.1,304.7,16.2,16.1,16.4,16.5,18.0,18.9,2023,1
畜試北區分所,15.3,29.0,01/13,4.3,01/29,81.5,6.0,1.7,WNW,198.5,307.2,16.3,17.3,17.9,18.6,19.6,21.2,2023,1
苗改生物防治研究中心,14.9,29.2,01/14,3.4,01/31,85.2,5.0,1.8,N,216.3,345.7,15.4,16.1,16.5,16.9,18.1,19.2,2023,1
苗栗農改,15.4,29.7,01/13,4.6,01/29,86.7,9.5,2.6,N,190.9,304.6,16.5,16.7,16.4,16.6,18.4,19.5,2023,1
種苗繁殖,14.7,27.0,01/14,4.0,01/30,80.6,9.0,1.6,N,256.6,460.1,16.4,17.0,17.2,17.9,18.8,20.4,2023,1
農業試驗所,*17.2,*29.9,01/14,6.6,01/29,*75.7,*9.5,*1.8,*NNW,*202.7,*343.4,*16.6,*17.2,*17.5,*17.7,*18.4,*19.2,2023,1
臺中農改,16.8,30.1,01/14,6.3,01/29,78.5,5.5,3.0,N,256.8,441.8,18.6,19.8,20.4,21.1,22.1,23.2,2023,1
中改埔里分場,15.5,26.8,01/14,4.4,01/31,81.9,14.5,0.6,WNW,238.1,408.7,17.6,17.8,17.4,17.6,19.2,20.3,2023,1
林試畢祿溪站,6.9,21.4,01/31,-5.0,01/30,78.1,24.5,0.5,S,205.8,405.4,8.2,8.3,8.9,9.6,10.5,11.4,2023,1
臺大內茅埔,16.0,26.7,01/14,6.5,01/28,82.0,18.0,0.3,NW,202.1,306.6,16.6,17.1,17.4,17.8,18.6,19.4,2023,1
臺大和社,14.7,25.6,01/14,5.4,01/31,82.1,28.5,0.4,N,205.9,395.0,15.6,16.1,16.3,16.7,17.8,18.8,2023,1
臺大溪頭,12.5,21.4,01/22,4.3,01/24,84.9,28.0,0.9,S,193.2,337.4,12.9,13.5,13.7,13.9,14.4,15.0,2023,1
臺大竹山,17.1,29.4,01/14,7.6,01/29,81.3,8.0,1.0,WNW,236.5,397.4,18.0,18.4,18.7,19.2,20.1,21.4,2023,1
茶改中部分場,15.2,25.8,01/13,5.6,01/24,86.3,15.5,0.6,SW,250.8,458.0,16.7,17.1,17.4,17.6,18.9,20.3,2023,1
茶改南部分場,15.6,28.1,01/14,5.3,01/28,80.7,13.5,0.9,W,238.1,379.7,16.6,17.2,17.6,17.9,18.7,19.7,2023,1
萬大發電廠,14.8,25.5,01/13,4.2,01/31,84.5,29.0,0.6,W,208.0,358.6,-,-,-,-,-,-,2023,1
蓮華池,15.4,25.7,01/22,5.6,01/29,83.0,12.0,0.4,N,215.4,382.8,17.2,17.8,17.9,18.3,18.8,19.6,2023,1
南改斗南分場,17.1,32.6,01/14,5.6,01/29,80.9,7.5,1.8,N,248.8,416.4,18.7,19.3,19.6,20.0,21.1,22.5,2023,1
口湖工作站,16.5,27.3,01/14,7.7,01/25,76.0,4.5,5.0,NNE,252.8,425.7,-,-,-,-,-,-,2023,1
四湖植物園,16.6,28.4,01/14,8.6,01/25,80.0,4.0,1.5,NE,219.2,374.2,16.9,17.0,17.8,18.9,20.5,21.9,2023,1
水試臺西試驗場,16.6,28.5,01/14,9.0,01/25,80.4,4.0,4.4,NNE,229.6,373.8,18.8,19.1,18.9,19.6,21.4,23.7,2023,1
臺大雲林校區,16.4,29.8,01/14,5.2,01/29,76.0,3.0,2.5,N,254.9,432.5,19.3,19.8,20.2,20.1,21.8,23.4,2023,1
麥寮合作社,16.5,28.5,01/14,8.1,01/25,73.1,4.5,5.1,N,245.9,399.9,18.0,18.1,18.3,18.4,20.4,21.6,2023,1
農試嘉義分所,16.6,30.1,01/14,4.9,01/25,78.2,10.5,1.1,NNW,249.5,435.6,18.1,18.8,19.8,19.5,20.4,22.3,2023,1
南改義竹分場,17.1,29.8,01/14,6.2,01/29,75.5,12.5,3.1,N,253.5,425.2,19.1,19.5,19.6,20.3,22.1,23.2,2023,1
南改鹿草分場,17.0,30.1,01/14,6.7,01/29,77.6,7.0,4.2,N,254.3,459.1,18.7,19.0,19.2,19.7,20.6,21.1,2023,1
農試溪口農場,17.3,29.8,01/14,7.3,01/29,79.9,8.5,2.6,N,245.6,362.9,18.7,19.2,19.0,20.3,21.5,22.2,2023,1
七股研究中心,17.0,28.0,01/14,8.8,01/25,79.9,6.0,5.5,NNE,259.0,451.9,18.0,18.1,18.0,18.6,20.3,20.6,2023,1
畜試所,17.6,31.4,01/13,6.8,01/29,76.6,1.5,2.1,N,255.0,463.4,17.9,19.0,19.8,20.6,21.4,23.2,2023,1
臺南蘭花園區,17.2,30.9,01/14,5.9,01/29,75.4,8.5,2.5,N,252.7,432.2,19.1,19.0,18.6,19.2,20.5,21.8,2023,1
臺南農改,17.4,30.9,01/14,5.9,01/29,79.5,1.0,2.0,N,262.7,478.0,19.2,19.5,19.7,20.1,21.2,22.2,2023,1
林試六龜中心,18.4,31.6,01/14,7.4,01/29,77.1,0.5,0.9,SSW,252.9,522.6,20.6,20.5,20.0,20.3,20.8,22.3,2023,1
林試扇平站,*16.2,*28.2,01/14,7.5,01/29,*84.4,*3.5,*0.6,*ESE,*193.5,*347.3,*18.2,*17.8,*18.0,*18.1,*19.4,*19.6,2023,1
農試鳳山分所,19.0,30.9,01/14,9.7,01/29,72.5,0.0,1.7,NW,261.1,455.6,19.5,20.2,20.6,20.7,22.7,23.9,2023,1
高改旗南分場,18.7,30.5,01/14,8.2,01/29,75.6,0.0,2.0,WNW,262.0,461.0,20.6,20.5,20.8,21.0,22.0,23.1,2023,1
恆春工作站,21.2,27.4,01/14,12.9,01/25,64.7,2.0,7.4,ENE,258.9,456.6,-,-,-,-,-,-,2023,1
東港工作站,20.0,28.5,01/14,10.7,01/28,63.7,0.0,1.4,NW,259.5,442.3,-,-,-,-,-,-,2023,1
畜試南區分所,20.7,29.1,01/14,12.5,01/25,74.0,42.5,3.8,ENE,252.4,446.5,20.9,22.1,21.5,22.0,23.1,24.3,2023,1
高雄農改,19.6,32.1,01/14,9.0,01/28,72.7,0.0,0.9,NNW,272.5,595.8,20.6,20.9,21.0,21.5,22.0,23.1,2023,1
畜試東區分所,16.1,26.8,01/13,6.4,01/25,80.3,380.5,1.9,N,146.6,220.6,16.6,16.5,16.1,16.3,16.4,16.6,2023,1
花改蘭陽分場,16.6,27.4,01/13,7.3,01/25,81.8,184.0,1.1,W,146.4,225.5,16.8,17.2,17.6,18.0,19.0,19.9,2023,1
花蓮農改,17.6,27.7,01/14,9.7,01/25,81.2,167.0,1.1,N,164.0,237.6,16.6,16.7,17.9,18.2,19.1,20.2,2023,1
東改班鳩分場,17.6,27.2,01/13,8.6,01/25,80.7,22.5,1.3,W,182.7,281.5,17.7,18.1,18.8,19.4,20.4,21.4,2023,1
東改賓朗果園,17.1,27.6,01/14,8.0,01/25,81.9,22.5,1.1,NE,185.3,292.7,17.2,17.4,17.9,18.7,19.9,21.2,2023,1
林試太麻里1,18.3,29.9,01/14,10.1,01/25,79.7,47.5,0.9,W,192.0,289.2,18.8,19.2,20.0,20.3,21.5,22.0,2023,1
林試太麻里2,19.3,29.1,01/14,11.0,01/25,76.2,27.5,2.0,N,199.6,316.4,20.0,19.7,19.9,20.3,21.8,22.9,2023,1
茶改東部分場,17.5,28.6,01/14,8.4,01/31,80.8,36.5,1.3,NNE,201.6,304.2,18.0,18.6,19.1,19.6,20.8,22.1,2023,1
桃改樹林分場,16.5,29.1,02/13,8.3,02/01,77.7,22.0,3.1,*E,167.2,279.2,16.7,16.7,16.9,17.3,17.8,18.8,2023,2
茶改北部分場,14.6,27.2,02/13,6.8,02/15,88.8,99.0,1.4,*ENE,133.9,221.3,15.4,15.6,15.7,15.7,16.2,16.9,2023,2
桃園農改,15.3,28.7,02/13,8.0,02/01,83.4,57.0,4.9,*NE,169.3,266.1,16.5,16.0,16.8,16.4,17.8,18.3,2023,2
茶改場,15.1,29.4,02/13,9.2,02/15,85.0,39.5,1.9,*NNW,160.7,285.4,15.5,15.7,16.0,16.4,17.2,18.5,2023,2
農工中心,15.3,29.5,02/13,9.7,02/15,80.6,46.0,1.3,*NW,143.9,244.8,16.3,15.6,16.1,16.2,17.1,19.1,2023,2
桃改五峰分場,12.8,26.7,02/13,4.0,02/15,88.3,33.5,0.6,*E,176.2,336.2,13.7,14.2,13.8,14.0,15.5,16.1,2023,2
桃改新埔分場,15.8,30.2,02/13,7.3,02/01,80.4,12.0,3.0,*NE,207.6,321.5,16.3,16.0,16.2,16.2,17.4,18.0,2023,2
畜試北區分所,15.3,33.1,02/13,6.5,02/01,82.2,19.0,1.8,*WNW,179.4,297.9,16.5,17.2,17.6,18.1,19.0,20.4,2023,2
苗改生物防治研究中心,15.2,32.7,02/13,5.4,02/01,84.3,16.0,1.8,*N,210.1,368.5,16.2,16.6,17.0,17.4,18.3,19.1,2023,2
苗栗農改,15.5,33.9,02/13,7.8,02/16,86.9,18.5,2.8,*N,180.0,293.1,16.7,16.8,16.5,16.6,18.1,18.9,2023,2
種苗繁殖,16.0,31.1,02/13,6.1,02/01,77.6,8.5,1.6,*NNW,243.7,475.7,18.2,18.5,18.7,19.2,19.6,20.5,2023,2
農業試驗所,18.3,33.4,02/13,9.4,02/01,74.3,14.0,1.9,*NNW,212.2,415.7,18.1,18.6,18.7,18.8,19.1,19.5,2023,2
臺中農改,17.4,33.6,02/13,10.3,02/01,78.4,5.0,3.2,*N,237.9,456.2,19.8,20.9,21.3,21.9,22.5,23.2,2023,2
中改埔里分場,16.7,30.1,02/13,5.4,02/01,80.7,15.0,0.6,*W,224.7,406.1,18.6,18.6,18.1,18.3,19.5,20.2,2023,2
林試畢祿溪站,8.3,21.0,02/24,-2.7,02/16,70.1,10.5,0.6,*S,189.4,459.0,9.0,9.1,9.6,10.2,10.8,11.3,2023,2
臺大內茅埔,17.6,29.4,02/13,9.5,02/01,79.2,1.0,0.3,*NW,192.9,357.8,18.0,18.1,18.2,18.4,18.9,19.3,2023,2
臺大和社,16.3,29.2,02/13,7.8,02/01,78.6,3.0,0.4,*ENE,198.6,417.1,17.8,17.9,18.0,18.3,18.9,19.3,2023,2
臺大溪頭,13.8,25.7,02/13,6.9,02/28,84.9,9.0,0.8,*S,177.0,332.9,14.0,14.5,14.6,14.7,14.8,14.9,2023,2
臺大竹山,18.1,33.0,02/13,10.9,02/01,79.2,3.5,1.1,*WNW,220.7,409.2,19.4,19.8,19.9,20.3,20.8,21.5,2023,2
茶改中部分場,16.4,28.3,02/13,9.7,02/28,86.5,11.0,0.6,*SSW,226.9,429.4,18.6,18.9,19.0,19.0,19.7,20.4,2023,2
茶改南部分場,16.9,31.3,02/13,9.2,02/15,77.3,5.0,0.9,*WNW,222.9,389.9,18.4,18.9,19.2,19.4,19.6,19.9,2023,2
萬大發電廠,16.1,27.2,02/13,6.3,02/01,83.3,41.5,0.6,*NW,202.9,440.2,-,-,-,-,-,-,2023,2
蓮華池,16.6,29.2,02/13,7.3,02/01,81.2,16.0,0.4,*N,192.8,351.6,17.6,18.1,18.2,18.5,18.8,19.3,2023,2
南改斗南分場,18.1,35.2,02/13,8.4,02/01,79.3,0.0,1.9,*N,233.7,445.9,20.5,20.9,21.1,21.3,21.8,22.6,2023,2
口湖工作站,16.7,28.9,02/13,11.7,02/27,77.0,2.5,5.0,*N,239.5,434.8,-,-,-,-,-,-,2023,2
