站名,平均氣溫,絕對最高氣溫,絕對最高氣溫日期,絕對最低氣溫,絕對最低氣溫日期,平均相對濕度 %,總降雨量mm,平均風速m/s,最多風向,總日照時數h,總日射量MJ/ m2,平均地溫(0cm),平均地溫(5cm),平均地溫(10 cm),平均地溫(20 cm),平均地溫(50 cm),平均地溫(100 cm),Year,Month
桃改樹林分場,15.6,26.8,01/18,6.3,01/23,75.9,45.0,2.5,ENE,173.2,261.8,15.6,15.9,16.0,16.7,17.4,19.4,2024,1
茶改北部分場,13.5,24.4,01/31,4.3,01/23,85.6,131.5,1.2,E,146.4,253.0,14.0,14.3,14.5,14.7,15.8,17.3,2024,1
桃園農改,15.6,25.5,01/08,5.8,01/23,79.1,39.0,4.0,NE,198.3,324.9,16.8,16.3,17.0,17.0,18.9,19.7,2024,1
茶改場,14.7,25.0,01/31,4.8,01/23,81.2,50.5,1.6,ENE,193.4,325.3,15.4,15.7,16.1,16.7,18.0,19.9,2024,1
農工中心,15.3,25.4,01/17,5.4,01/23,77.1,53.5,1.3,E,178.1,287.8,16.1,15.4,15.9,16.2,17.5,20.0,2024,1
桃改五峰分場,11.3,22.0,01/19,0.2,01/23,83.1,62.5,0.5,E,173.9,322.6,11.2,11.8,11.4,11.9,14.3,16.0,2024,1
桃改新埔分場,15.2,26.9,01/31,5.7,01/23,79.5,6.0,2.5,NE,213.6,336.0,16.2,15.7,16.0,16.4,18.0,19.1,2024,1
畜試北區分所,15.0,26.5,01/31,5.8,01/23,81.0,4.0,1.4,NW,236.9,482.8,15.5,16.5,17.0,17.8,19.1,20.5,2024,1
苗改生物防治研究中心,14.1,26.9,01/31,4.4,01/23,81.8,31.0,1.6,N,230.2,423.8,14.8,15.4,15.8,16.5,18.1,19.8,2024,1
苗栗農改,14.8,27.0,01/31,5.3,01/23,81.2,23.0,2.4,N,226.1,422.4,16.3,16.2,15.9,16.3,18.3,19.6,2024,1
種苗繁殖,14.3,26.0,01/31,4.2,01/23,80.9,15.5,1.4,N,250.8,454.0,16.1,16.7,16.9,17.5,18.7,20.7,2024,1
農業試驗所,17.0,28.9,01/31,7.3,01/23,76.2,17.5,2.4,NNW,88.1,138.3,16.4,17.0,17.4,17.7,18.7,20.0,2024,1
王功漁港,17.2,22.7,01/19,8.0,01/23,77.5,3.0,6.5,NNE,252.6,443.2,18.2,18.4,18.3,18.9,20.6,22.8,2024,1
臺中農改,16.9,28.6,01/31,7.2,01/23,76.3,10.5,2.6,N,254.6,455.2,18.4,19.4,19.6,20.5,21.8,22.7,2024,1
中改埔里分場,14.5,25.7,01/18,5.5,01/12,84.4,12.5,0.5,W,236.0,406.6,16.3,15.9,16.0,16.5,18.6,20.1,2024,1
林試畢祿溪站,*6.2,*20.0,01/31,-2.6,01/11,*77.4,*7.5,*0.6,*S,*182.6,*364.8,*7.5,*7.5,*8.0,*8.7,*9.9,*11.3,2024,1
臺大內茅埔,15.6,25.3,01/31,6.6,01/23,76.5,9.5,0.3,NW,189.0,270.1,16.5,17.0,17.4,17.7,18.6,19.6,2024,1
臺大和社,14.6,25.2,01/19,6.9,01/23,79.4,8.5,0.4,E,214.5,373.8,14.7,15.4,15.8,16.3,18.0,19.4,2024,1
臺大溪頭,11.4,19.7,01/18,5.1,01/23,89.4,15.5,0.9,S,173.5,303.9,12.3,13.0,13.2,13.5,14.1,15.1,2024,1
臺大竹山,16.9,28.6,01/19,7.1,01/23,75.0,4.0,0.8,W,229.3,395.3,17.3,17.7,17.9,18.3,19.4,20.7,2024,1
茶改中部分場,14.4,25.0,01/19,5.4,01/23,79.1,10.5,0.6,SW,240.6,441.1,15.6,16.2,16.6,16.5,18.6,20.4,2024,1
茶改南部分場,15.2,26.3,01/19,5.9,01/23,81.0,6.0,0.9,W,230.7,394.1,XXX,XXX,XXX,XXX,XXX,XXX,2024,1
萬大發電廠,13.7,24.0,01/20,4.8,01/12,73.7,17.5,0.5,SSW,197.9,332.9,-,-,-,-,-,-,2024,1
蓮華池,14.6,25.4,01/19,6.8,01/12,86.2,10.0,0.3,N,207.9,365.9,16.8,17.2,17.4,17.8,18.2,18.9,2024,1
